,Date,Home,Away,Bet
0,2012-03-08,Arsenal Sarandi,Union de Santa Fe,1.76
1,2012-04-08,Velez Sarsfield,Argentinos Jrs,1.97
2,2012-04-08,Racing Club,Atl. Rafaela,0.0
3,2012-04-08,Colon Santa FE,Lanus,0.0
4,2012-04-08,Quilmes,Boca Juniors,0.0
5,2012-05-08,Newells Old Boys,Independiente,0.0
6,2012-05-08,Godoy Cruz,All Boys,0.0
7,2012-05-08,San Lorenzo,San Martin S.J.,1.89
8,2012-05-08,River Plate,Belgrano,0.0
9,2012-07-08,Tigre,Estudiantes L.P.,0.0
10,2012-10-08,San Martin S.J.,Colon Santa FE,0.0
11,2012-11-08,Lanus,Newells Old Boys,0.0
12,2012-11-08,Estudiantes L.P.,River Plate,0.0
13,2012-11-08,All Boys,Quilmes,2.95
14,2012-11-08,Belgrano,San Lorenzo,3.0
15,2012-12-08,Argentinos Jrs,Racing Club,0.0
16,2012-12-08,Union de Santa Fe,Godoy Cruz,0.0
17,2012-08-13,Boca Juniors,Tigre,1.85
18,2012-08-13,Atl. Rafaela,Arsenal Sarandi,3.05
19,2012-08-14,Independiente,Velez Sarsfield,3.02
20,2012-08-18,Boca Juniors,All Boys,1.73
21,2012-08-18,Colon Santa FE,Belgrano,0.0
22,2012-08-19,San Lorenzo,Estudiantes L.P.,0.0
23,2012-08-19,Racing Club,Independiente,0.0
24,2012-08-19,Godoy Cruz,Atl. Rafaela,2.13
25,2012-08-19,Velez Sarsfield,Lanus,0.0
26,2012-08-19,Tigre,River Plate,0.0
27,2012-08-20,Quilmes,Union de Santa Fe,2.06
28,2012-08-20,Arsenal Sarandi,Argentinos Jrs,0.0
29,2012-08-20,Newells Old Boys,San Martin S.J.,1.72
30,2012-08-25,All Boys,Tigre,3.0
31,2012-08-25,Union de Santa Fe,Boca Juniors,0.0
32,2012-08-25,Argentinos Jrs,Godoy Cruz,0.0
33,2012-08-26,Independiente,Arsenal Sarandi,0.0
34,2012-08-26,Atl. Rafaela,Quilmes,2.99
35,2012-08-26,Belgrano,Newells Old Boys,2.93
36,2012-08-26,Lanus,Racing Club,0.0
37,2012-08-26,San Martin S.J.,Velez Sarsfield,0.0
38,2012-08-26,River Plate,San Lorenzo,0.0
39,2012-08-27,Estudiantes L.P.,Colon Santa FE,0.0
40,2012-01-09,All Boys,Union de Santa Fe,1.9
41,2012-01-09,Newells Old Boys,Estudiantes L.P.,2.1
42,2012-01-09,Arsenal Sarandi,Lanus,0.0
43,2012-02-09,Velez Sarsfield,Belgrano,1.75
44,2012-02-09,Tigre,San Lorenzo,3.07
45,2012-02-09,Boca Juniors,Atl. Rafaela,1.59
46,2012-02-09,Godoy Cruz,Independiente,2.03
47,2012-03-09,Colon Santa FE,River Plate,3.0
48,2012-03-09,Quilmes,Argentinos Jrs,0.0
49,2012-04-09,Racing Club,San Martin S.J.,1.77
50,2012-08-09,San Martin S.J.,Arsenal Sarandi,0.0
51,2012-08-09,Atl. Rafaela,All Boys,0.0
52,2012-08-09,Estudiantes L.P.,Velez Sarsfield,3.05
53,2012-09-09,San Lorenzo,Colon Santa FE,0.0
54,2012-09-09,Argentinos Jrs,Boca Juniors,3.05
55,2012-09-09,Belgrano,Racing Club,0.0
56,2012-09-09,Independiente,Quilmes,2.96
57,2012-10-09,River Plate,Newells Old Boys,0.0
