,Date,Home,Away
0,2012-03-08,Arsenal Sarandi,Union de Santa Fe
1,2012-04-08,Velez Sarsfield,Argentinos Jrs
2,2012-04-08,Racing Club,Atl. Rafaela
3,2012-04-08,Colon Santa FE,Lanus
4,2012-04-08,Quilmes,Boca Juniors
5,2012-05-08,Newells Old Boys,Independiente
6,2012-05-08,Godoy Cruz,All Boys
7,2012-05-08,San Lorenzo,San Martin S.J.
8,2012-05-08,River Plate,Belgrano
9,2012-07-08,Tigre,Estudiantes L.P.
10,2012-10-08,San Martin S.J.,Colon Santa FE
11,2012-11-08,Lanus,Newells Old Boys
12,2012-11-08,Estudiantes L.P.,River Plate
13,2012-11-08,All Boys,Quilmes
14,2012-11-08,Belgrano,San Lorenzo
15,2012-12-08,Argentinos Jrs,Racing Club
16,2012-12-08,Union de Santa Fe,Godoy Cruz
17,2012-08-13,Boca Juniors,Tigre
18,2012-08-13,Atl. Rafaela,Arsenal Sarandi
19,2012-08-14,Independiente,Velez Sarsfield
20,2012-08-18,Boca Juniors,All Boys
21,2012-08-18,Colon Santa FE,Belgrano
22,2012-08-19,San Lorenzo,Estudiantes L.P.
23,2012-08-19,Racing Club,Independiente
24,2012-08-19,Godoy Cruz,Atl. Rafaela
25,2012-08-19,Velez Sarsfield,Lanus
26,2012-08-19,Tigre,River Plate
27,2012-08-20,Quilmes,Union de Santa Fe
28,2012-08-20,Arsenal Sarandi,Argentinos Jrs
29,2012-08-20,Newells Old Boys,San Martin S.J.
30,2012-08-25,All Boys,Tigre
31,2012-08-25,Union de Santa Fe,Boca Juniors
32,2012-08-25,Argentinos Jrs,Godoy Cruz
33,2012-08-26,Independiente,Arsenal Sarandi
34,2012-08-26,Atl. Rafaela,Quilmes
35,2012-08-26,Belgrano,Newells Old Boys
36,2012-08-26,Lanus,Racing Club
37,2012-08-26,San Martin S.J.,Velez Sarsfield
38,2012-08-26,River Plate,San Lorenzo
39,2012-08-27,Estudiantes L.P.,Colon Santa FE
40,2012-01-09,All Boys,Union de Santa Fe
41,2012-01-09,Newells Old Boys,Estudiantes L.P.
42,2012-01-09,Arsenal Sarandi,Lanus
43,2012-02-09,Velez Sarsfield,Belgrano
44,2012-02-09,Tigre,San Lorenzo
45,2012-02-09,Boca Juniors,Atl. Rafaela
46,2012-02-09,Godoy Cruz,Independiente
47,2012-03-09,Colon Santa FE,River Plate
48,2012-03-09,Quilmes,Argentinos Jrs
49,2012-04-09,Racing Club,San Martin S.J.
50,2012-08-09,San Martin S.J.,Arsenal Sarandi
51,2012-08-09,Atl. Rafaela,All Boys
52,2012-08-09,Estudiantes L.P.,Velez Sarsfield
53,2012-09-09,San Lorenzo,Colon Santa FE
54,2012-09-09,Argentinos Jrs,Boca Juniors
55,2012-09-09,Belgrano,Racing Club
56,2012-09-09,Independiente,Quilmes
57,2012-10-09,River Plate,Newells Old Boys
58,2012-10-09,Union de Santa Fe,Tigre
59,2012-10-09,Lanus,Godoy Cruz
60,2012-09-15,Tigre,Colon Santa FE
61,2012-09-15,All Boys,Argentinos Jrs
62,2012-09-15,Godoy Cruz,San Martin S.J.
63,2012-09-16,Racing Club,Estudiantes L.P.
64,2012-09-16,Boca Juniors,Independiente
65,2012-09-16,Newells Old Boys,San Lorenzo
66,2012-09-16,Arsenal Sarandi,Belgrano
67,2012-09-17,Velez Sarsfield,River Plate
68,2012-09-17,Union de Santa Fe,Atl. Rafaela
69,2012-09-18,Quilmes,Lanus
70,2012-09-21,Belgrano,Godoy Cruz
71,2012-09-22,Atl. Rafaela,Tigre
72,2012-09-22,Argentinos Jrs,Union de Santa Fe
73,2012-09-22,San Lorenzo,Velez Sarsfield
74,2012-09-23,Independiente,All Boys
75,2012-09-23,River Plate,Racing Club
76,2012-09-23,Colon Santa FE,Newells Old Boys
77,2012-09-23,San Martin S.J.,Quilmes
78,2012-09-23,Lanus,Boca Juniors
79,2012-09-24,Estudiantes L.P.,Arsenal Sarandi
80,2012-09-28,Quilmes,Belgrano
81,2012-09-29,All Boys,Lanus
82,2012-09-29,Godoy Cruz,Estudiantes L.P.
83,2012-09-29,Atl. Rafaela,Argentinos Jrs
84,2012-09-30,Racing Club,San Lorenzo
85,2012-09-30,Arsenal Sarandi,River Plate
86,2012-09-30,Tigre,Newells Old Boys
87,2012-09-30,Union de Santa Fe,Independiente
88,2012-09-30,Velez Sarsfield,Colon Santa FE
89,2012-09-30,Boca Juniors,San Martin S.J.
90,2012-05-10,Lanus,Union de Santa Fe
91,2012-06-10,Argentinos Jrs,Tigre
92,2012-06-10,San Martin S.J.,All Boys
93,2012-06-10,San Lorenzo,Arsenal Sarandi
94,2012-06-10,Estudiantes L.P.,Quilmes
95,2012-07-10,Colon Santa FE,Racing Club
96,2012-07-10,Belgrano,Boca Juniors
97,2012-07-10,Independiente,Atl. Rafaela
98,2012-07-10,Newells Old Boys,Velez Sarsfield
99,2012-07-10,River Plate,Godoy Cruz
100,2012-10-19,Arsenal Sarandi,Colon Santa FE
101,2012-10-20,Argentinos Jrs,Independiente
102,2012-10-20,All Boys,Belgrano
103,2012-10-20,Union de Santa Fe,San Martin S.J.
104,2012-10-20,Godoy Cruz,San Lorenzo
105,2012-10-20,Tigre,Velez Sarsfield
106,2012-10-21,Racing Club,Newells Old Boys
107,2012-10-21,Quilmes,River Plate
108,2012-10-21,Atl. Rafaela,Lanus
109,2012-10-21,Boca Juniors,Estudiantes L.P.
110,2012-10-27,San Lorenzo,Quilmes
111,2012-10-27,San Martin S.J.,Atl. Rafaela
112,2012-10-27,Estudiantes L.P.,All Boys
113,2012-10-27,Newells Old Boys,Arsenal Sarandi
114,2012-10-28,Velez Sarsfield,Racing Club
115,2012-10-28,River Plate,Boca Juniors
116,2012-10-28,Belgrano,Union de Santa Fe
117,2012-10-28,Lanus,Argentinos Jrs
118,2012-10-29,Colon Santa FE,Godoy Cruz
119,2012-02-11,Atl. Rafaela,Belgrano
120,2012-03-11,Argentinos Jrs,San Martin S.J.
121,2012-03-11,Union de Santa Fe,Estudiantes L.P.
122,2012-03-11,Boca Juniors,San Lorenzo
123,2012-03-11,Arsenal Sarandi,Velez Sarsfield
124,2012-04-11,Godoy Cruz,Newells Old Boys
125,2012-04-11,Quilmes,Colon Santa FE
126,2012-04-11,All Boys,River Plate
127,2012-05-11,Tigre,Racing Club
128,2012-06-11,Independiente,Lanus
129,2012-09-11,Belgrano,Argentinos Jrs
130,2012-09-11,Newells Old Boys,Quilmes
131,2012-10-11,Velez Sarsfield,Godoy Cruz
132,2012-10-11,San Lorenzo,All Boys
133,2012-10-11,River Plate,Union de Santa Fe
134,2012-10-11,Estudiantes L.P.,Atl. Rafaela
135,2012-11-11,Lanus,Tigre
136,2012-11-11,San Martin S.J.,Independiente
137,2012-11-11,Colon Santa FE,Boca Juniors
138,2012-11-11,Racing Club,Arsenal Sarandi
139,2012-11-13,Argentinos Jrs,Estudiantes L.P.
140,2012-11-13,Union de Santa Fe,San Lorenzo
141,2012-11-14,Quilmes,Velez Sarsfield
142,2012-11-14,All Boys,Colon Santa FE
143,2012-11-15,Atl. Rafaela,River Plate
144,2012-11-15,Godoy Cruz,Racing Club
145,2012-11-15,Lanus,San Martin S.J.
146,2012-11-16,Boca Juniors,Newells Old Boys
147,2012-11-16,Tigre,Arsenal Sarandi
148,2012-11-17,San Lorenzo,Atl. Rafaela
149,2012-11-17,Estudiantes L.P.,Independiente
150,2012-11-18,Arsenal Sarandi,Godoy Cruz
151,2012-11-18,Colon Santa FE,Union de Santa Fe
152,2012-11-18,San Martin S.J.,Tigre
153,2012-11-18,Newells Old Boys,All Boys
154,2012-11-18,Velez Sarsfield,Boca Juniors
155,2012-11-19,Belgrano,Lanus
156,2012-11-19,Racing Club,Quilmes
157,2012-11-20,River Plate,Argentinos Jrs
158,2012-11-24,Independiente,River Plate
159,2012-11-24,Union de Santa Fe,Newells Old Boys
160,2012-11-24,San Martin S.J.,Belgrano
161,2012-11-25,Argentinos Jrs,San Lorenzo
162,2012-11-25,All Boys,Velez Sarsfield
163,2012-11-25,Lanus,Estudiantes L.P.
164,2012-11-25,Tigre,Godoy Cruz
165,2012-11-25,Boca Juniors,Racing Club
166,2012-11-26,Quilmes,Arsenal Sarandi
167,2012-11-27,Atl. Rafaela,Colon Santa FE
168,2012-11-28,Independiente,Belgrano
169,2012-01-12,Godoy Cruz,Quilmes
170,2012-01-12,Colon Santa FE,Argentinos Jrs
171,2012-02-12,Racing Club,All Boys
172,2012-02-12,Belgrano,Tigre
173,2012-02-12,River Plate,Lanus
174,2012-02-12,Velez Sarsfield,Union de Santa Fe
175,2012-02-12,San Lorenzo,Independiente
176,2012-02-12,Arsenal Sarandi,Boca Juniors
177,2012-03-12,Newells Old Boys,Atl. Rafaela
178,2012-03-12,Estudiantes L.P.,San Martin S.J.
179,2012-07-12,All Boys,Arsenal Sarandi
180,2012-08-12,Union de Santa Fe,Racing Club
181,2012-08-12,Argentinos Jrs,Newells Old Boys
182,2012-08-12,Boca Juniors,Godoy Cruz
183,2012-08-12,Atl. Rafaela,Velez Sarsfield
184,2012-08-12,Belgrano,Estudiantes L.P.
185,2012-09-12,Lanus,San Lorenzo
186,2012-09-12,Independiente,Colon Santa FE
187,2012-09-12,San Martin S.J.,River Plate
188,2013-03-02,Independiente,Tigre
189,2013-08-02,Union de Santa Fe,Arsenal Sarandi
190,2013-09-02,Argentinos Jrs,Velez Sarsfield
191,2013-09-02,All Boys,Godoy Cruz
192,2013-09-02,Estudiantes L.P.,Tigre
193,2013-09-02,Boca Juniors,Quilmes
194,2013-10-02,San Martin S.J.,San Lorenzo
195,2013-10-02,Atl. Rafaela,Racing Club
196,2013-10-02,Independiente,Newells Old Boys
197,2013-10-02,Belgrano,River Plate
198,2013-11-02,Lanus,Colon Santa FE
199,2013-02-13,Quilmes,Tigre
200,2013-02-16,Racing Club,Argentinos Jrs
201,2013-02-16,Godoy Cruz,Union de Santa Fe
202,2013-02-16,San Lorenzo,Belgrano
203,2013-02-16,Colon Santa FE,San Martin S.J.
204,2013-02-16,Velez Sarsfield,Independiente
205,2013-02-17,Tigre,Boca Juniors
206,2013-02-17,Quilmes,All Boys
207,2013-02-17,Newells Old Boys,Lanus
208,2013-02-17,River Plate,Estudiantes L.P.
209,2013-02-18,Arsenal Sarandi,Atl. Rafaela
210,2013-02-22,Argentinos Jrs,Arsenal Sarandi
211,2013-02-23,Estudiantes L.P.,San Lorenzo
212,2013-02-23,Union de Santa Fe,Quilmes
213,2013-02-23,All Boys,Boca Juniors
214,2013-02-23,Lanus,Velez Sarsfield
215,2013-02-24,Atl. Rafaela,Godoy Cruz
216,2013-02-24,Independiente,Racing Club
217,2013-02-24,Belgrano,Colon Santa FE
218,2013-02-24,River Plate,Tigre
219,2013-02-26,San Martin S.J.,Newells Old Boys
220,2013-01-03,Quilmes,Atl. Rafaela
221,2013-02-03,Newells Old Boys,Belgrano
222,2013-02-03,Colon Santa FE,Estudiantes L.P.
223,2013-02-03,Arsenal Sarandi,Independiente
224,2013-03-03,Godoy Cruz,Argentinos Jrs
225,2013-03-03,San Lorenzo,River Plate
226,2013-03-03,Tigre,All Boys
227,2013-03-03,Racing Club,Lanus
228,2013-03-03,Boca Juniors,Union de Santa Fe
229,2013-05-03,Velez Sarsfield,San Martin S.J.
230,2013-08-03,Belgrano,Velez Sarsfield
231,2013-09-03,Independiente,Godoy Cruz
232,2013-09-03,Union de Santa Fe,All Boys
233,2013-09-03,Estudiantes L.P.,Newells Old Boys
234,2013-09-03,San Martin S.J.,Racing Club
235,2013-10-03,San Lorenzo,Tigre
236,2013-10-03,River Plate,Colon Santa FE
237,2013-10-03,Atl. Rafaela,Boca Juniors
238,2013-11-03,Lanus,Arsenal Sarandi
239,2013-12-03,Argentinos Jrs,Quilmes
240,2013-03-16,Tigre,Union de Santa Fe
241,2013-03-16,Colon Santa FE,San Lorenzo
242,2013-03-16,Quilmes,Independiente
243,2013-03-17,Godoy Cruz,Lanus
244,2013-03-17,Newells Old Boys,River Plate
245,2013-03-17,Racing Club,Belgrano
246,2013-03-17,Velez Sarsfield,Estudiantes L.P.
247,2013-03-17,Boca Juniors,Argentinos Jrs
248,2013-03-18,Arsenal Sarandi,San Martin S.J.
249,2013-03-19,All Boys,Atl. Rafaela
250,2013-03-29,Colon Santa FE,Tigre
251,2013-03-30,Belgrano,Arsenal Sarandi
252,2013-03-30,Argentinos Jrs,All Boys
253,2013-03-30,River Plate,Velez Sarsfield
254,2013-03-30,Estudiantes L.P.,Racing Club
255,2013-03-31,Independiente,Boca Juniors
256,2013-03-31,San Martin S.J.,Godoy Cruz
257,2013-03-31,Atl. Rafaela,Union de Santa Fe
258,2013-03-31,San Lorenzo,Newells Old Boys
259,2013-01-04,Lanus,Quilmes
260,2013-06-04,All Boys,Independiente
261,2013-06-04,Tigre,Atl. Rafaela
